# Key,# English,,
@TN_BUG_SPRAY,Bug Spray,,
@TN_FIRE_BLASTER,Fire Blaster,,
@TN_FLY_PAPER,Fly Paper Dispenser,,
@TN_MAGNIFYING_GLASS,Magnifying Glass,,
@TN_PEBBLE_SHOOTER,Pebble Shooter,,
@TOWER_MAX_LEVEL,(Max Level),,
@TOWER_SUMMARY,%0 (Lv. %1)\nShots: %2\nDamange dealt: %3,,
@TOWER_SUMMARY_GLASS,%0 (Lv. %1)\nFocus duration: %2\nDamange dealt: %3,,
@TOWER_SUMMARY_PAPER,%0 (Lv. %1)\nPapers dispensed: %2\nVictims: %3,,
@TOWER_SUMMARY_PAPER_ADVANCED,%0 (Lv. %1)\nPapers dispensed: %2\nVictims: %3\nImmobilizations: %4,,
@TOWER_SUMMARY_SPRAY,%0 (Lv. %1)\nClouds spawned: %2\nVictims: %3\nDamange dealt: %4,,
@TOWER_TOOLTIP,%0\n\n%1,,
%0 x %1,%0 x %1,,
+,+,,
||,||,,
1. The Campsite,1. The Campsite,,
10. The Outskirts,10. The Outskirts,,
11. The City,11. The City,,
12. The Castle,12. The Castle,,
1x,1x,,
2. The Woods,2. The Woods,,
2x,2x,,
3. The Farm,3. The Farm,,
4. The Canyon,4. The Canyon,,
5. The\nFlower Fields,,,
5. The\nFlower Fields,5. The\nFlower Fields,,
6. The Graveyard,6. The Graveyard,,
7. The Beach,7. The Beach,,
8. The Pirate Cove,8. The Pirate Cove,,
9. The Buttes,9. The Buttes,,
Achievements,Achievements,,
Back,Back,,
Back to Title,Back to Title,,
Bird Nest ($%0),Bird Nest ($%0),,
Bombadier: Credits,Bombadier: Credits,,
Bug Spray ($%0),Bug Spray ($%0),,
Credits,Credits,,
Delete Save,Delete Save,,
English,English,,
English (Pirate),English (Pirate),,
Fire Blaster ($%0),Fire Blaster ($%0),,
Fly Paper Dispenser ($%0),Fly Paper Dispenser ($%0),,
Fly Paper Trap ($%0),Fly Paper Trap ($%0),,
FPS: %0,FPS: %0,,
Fullscreen: Off,Fullscreen: Off,,
Fullscreen: On,Fullscreen: On,,
How To Play,How To Play,,
Language: %0,Language: %0,,
Made by Michael,Made by Michael,,
Magnifying Glass ($%0),Magnifying Glass ($%0),,
Many assets from kenney.nl,Many assets from kenney.nl,,
Music by RyanAvx,Music by RyanAvx,,
Next Level,Next Level,,
Next Wave,Next Wave,,
No,No,,
Particle Density: %0%,Particle Density: %0%,,
Pause Game,Pause Game,,
Pebble Shooter,Pebble Shooter,,
Pebble Shooter ($%0),Pebble Shooter ($%0),,
Quit Game,Quit Game,,
Quit to Desktop,Quit to Desktop,,
Quit to Title,Quit to Title,,
Restart,Restart,,
Resume,Resume,,
Retry,Retry,,
Scale: %0%,Scale: %0%,,
Sell ($%0),Sell ($%0),,
Settings,Settings,,
Some audio from Sonniss,Some audio from Sonniss,,
spart by TheSnidr,spart by TheSnidr,,
Special thanks to Michael's sister,Special thanks to Michael's sister,,
Start,Start,,
Upgrade ($%0),Upgrade ($%0),,
Volume: %0%,Volume: %0%,,
Would you like to delete\nyour save data?,Would you like to delete\nyour save data?,,
Would you like to quit the game?,Would you like to quit the game?,,
Would you like to quit\nthe game?,Would you like to quit\nthe game?,,
Yes,Yes,,
You lose!,You lose!,,
You win!,You win!,,
@ACH_DESC_BATTLE_TESTED,Win six maps.,,
@ACH_DESC_BATTLE_VETERAN,Win on twelve maps.,,
@ACH_DESC_BUG_STOMPER,"Stomp 3,000 foes (lifetime).",,
@ACH_DESC_FIRST_BLOOD,Stomp a foe for the first time.,,
@ACH_DESC_FIRST_VICTORY,Win a map for the first time.,,
@ACH_DESC_FOUL_PLAY,Inflict a status ailment on a foe.,,
@ACH_DESC_GETTING_AN_UPGRADE,Upgrade a tower.,,
@ACH_DESC_IMPATIENCE,Call every wave in a level early.,,
@ACH_DESC_LIVING_ON_THE_EDGE,Win a map with only one life remaining.,,
@ACH_DESC_LOCUST_PLAGUE,Lose all of your lives to grasshoppers.,,
@ACH_DESC_PERFECT_GAME,Win a map without letting any foes reach the end.,,
@ACH_DESC_ROOKIE_SQUAD,Win a map without upgrading any towers.,,
@ACH_DESC_TOWER_EXPERT,Upgrade a tower to Level 3.,,
@ACH_DESC_TOWER_MASTER,Fully upgrade all types of tower in the game (lifetime).,,
@ACH_DESC_TRIPLE_THREAT,Inflict three different status ailments on a single foe.,,
